Date,ID,Tramming_Actual_t,Tramming_Actual_gpt,Tramming_Actual_kgs,Tramming_Budget_t,Tramming_Budget_gpt,Tramming_Budget_kgs
2025-08-17,5L_W11 STOPE,70.0,3.0,0.21,70.0,1.7476635514018692,0.12233644859813084
2025-08-17,5L_W8 STOPE,137.0,0.97,0.13288999999999998,105.0,1.8271028037383175,0.19184579439252333
2025-08-17,6L_E1 STOPE,37.0,3.14,0.11618,35.0,3.137850467289719,0.10982476635514017
2025-08-17,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-17,6L_W13 STOPE,52.0,3.19,0.16588,35.0,1.9859813084112148,0.06950934579439251
2025-08-17,6L_W15_STOPE,80.0,1.16,0.0928,70.0,1.7476635514018692,0.12233644859813084
2025-08-17,6L_W18_STOPE,24.0,0.33,0.00792,70.0,2.7803738317757007,0.19462616822429904
2025-08-17,6L_W2 STOPE,162.0,2.2,0.35640000000000005,140.0,2.542056074766355,0.3558878504672897
2025-08-17,6L_W3 STOPE,139.0,3.64,0.5059600000000001,105.0,2.3831775700934577,0.25023364485981303
2025-08-17,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-17,6L_W8 STOPE,16.5,,0.0,105.0,2.7803738317757007,0.2919392523364486
2025-08-18,3L_W23A STOPE,,,0.0,0.0,1.9859813084112148,0.0
2025-08-18,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-18,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-18,4L_W26 STOPE,240.0,3.29,0.7896,70.0,1.9462616822429906,0.13623831775700931
2025-08-18,5L_W11 STOPE,74.0,1.29,0.09546,70.0,1.7476635514018692,0.12233644859813084
2025-08-18,5L_W8 STOPE,128.0,2.7,0.3456,105.0,1.8271028037383175,0.19184579439252333
2025-08-18,6L_E1 STOPE,72.0,3.79,0.27288,35.0,3.137850467289719,0.10982476635514017
2025-08-18,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-18,6L_W13 STOPE,36.0,3.48,0.12528,35.0,1.9859813084112148,0.06950934579439251
2025-08-18,6L_W15_STOPE,79.0,2.47,0.19513000000000003,70.0,1.7476635514018692,0.12233644859813084
2025-08-18,6L_W18_STOPE,60.0,0.58,0.0348,70.0,2.7803738317757007,0.19462616822429904
2025-08-18,6L_W2 STOPE,219.0,3.71,0.81249,140.0,2.542056074766355,0.3558878504672897
2025-08-18,6L_W3 STOPE,58.0,2.66,0.15428,105.0,2.3831775700934577,0.25023364485981303
2025-08-18,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-18,6L_W8 STOPE,,,0.0,105.0,2.7803738317757007,0.2919392523364486
2025-08-19,3L_W23A STOPE,,,0.0,0.0,1.9859813084112148,0.0
2025-08-19,3L_W23B STOPE,96.0,2.55,0.2448,70.0,1.9859813084112148,0.13901869158878502
2025-08-19,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-19,4L_W26 STOPE,46.0,4.23,0.19458,70.0,1.9462616822429906,0.13623831775700931
2025-08-19,5L_W11 STOPE,50.0,0.31,0.0155,70.0,1.7476635514018692,0.12233644859813084
2025-08-19,5L_W8 STOPE,50.0,3.21,0.1605,105.0,1.8271028037383175,0.19184579439252333
2025-08-19,6L_E1 STOPE,52.0,3.11,0.16172,35.0,3.137850467289719,0.10982476635514017
2025-08-19,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-19,6L_W13 STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-19,6L_W15_STOPE,64.0,0.7,0.0448,70.0,1.7476635514018692,0.12233644859813084
2025-08-19,6L_W18_STOPE,,1.6,0.0,70.0,2.7803738317757007,0.19462616822429904
